Country,Total Days
Afghanistan,20
Albania,20
Algeria,30
Andorra,30
Angola,22
Antigua and Barbuda,12
Argentina,14
Armenia,20
Australia,20
Austria,30
Azerbaijan,21
Bahamas,10
Bahrain,30
Bangladesh,10
Barbados,15
Belarus,24
Belgium,20
Belize,10
Benin,24
Bhutan,18
Bolivia,15
Bosnia and Herzegovina,18
Botswana,15
Brazil,30
Brunei,7
Bulgaria,20
Burkina Faso,30
Burundi,20
Cambodia,18
Cameroon,18
Canada,10
Cape Verde,22
Central African Republic,24
Chad,24
Chile,15
China,5
Colombia,15
Comoros,30
Costa Rica,10
Cote d'Ivoire,24
Croatia,20
Cuba,30
Cyprus,20
Czech Republic,20
Democratic Republic of the Congo,12
Denmark,25
Djibouti,30
Dominica,10
Dominican Republic,14
Ecuador,15
Egypt,21
El Salvador,15
Equatorial Guinea,20
Eritrea,14
Estonia,28
Ethiopia,14
Fiji,10
Finland,30
France,30
Gabon,24
Georgia,24
Germany,24
Ghana,15
Greece,20
Grenada,10
Guatemala,15
Guinea,30
Guinea-Bissau,30
Guyana,12
Haiti,15
Holy See ,0
Honduras,10
Hungary,20
Iceland,24
India,0
Indonesia,12
Iran,20
Iraq,20
Ireland,20
Israel,14
Italy,20
Jamaica,10
Japan,10
Jordan,14
Kazakhstan,24
Kenya,21
Kiribati,0
Kuwait,30
Kyrgyzstan,28
Laos,15
Latvia,20
Lebanon,15
Lesotho,12
Liberia,10
Libya,30
Liechtenstein,20
Lithuania,28
Luxembourg,25
Macedonia,20
Madagascar,30
Malawi,15
Malaysia,8
Maldives,30
Mali,30
Malta,20
Marshall Islands,0
Mauritania,18
Mauritius,20
Mexico,6
"Micronesia, Federated States of",0
Moldova,28
Monaco,30
Mongolia,15
Montenegro,20
Morocco,18
Mozambique,12
Myanmar,10
Namibia,20
Nauru,0
Nepal,12
Netherlands,20
New Zealand,20
Nicaragua,30
Niger,30
Nigeria,6
North Korea (Democratic People's Republic of Korea),14
Norway,25
Oman,30
Pakistan,0
Palau,0
Palestine,12
Panama,30
Papua New Guinea,14
Paraguay,12
Peru,30
Philippines,0
Poland,20
Portugal,22
Qatar,15
Republic of the Congo,26
Romania,20
Russia,28
Rwanda,18
Saint Kitts and Nevis,14
Saint Lucia,14
Saint Vincent and the Grenadines,0
Samoa,10
San Marino,10
Sao Tome and Principe,30
Saudi Arabia,21
Senegal,24
Serbia,20
Seychelles,21
Sierra Leone,25
Singapore,7
Slovakia,20
Slovenia,20
Solomon Islands,15
Somalia,15
South Africa,21
South Korea,15
South Sudan,20
Spain,30
Sri Lanka,0
Sudan,20
Suriname,12
Swaziland,10
Sweden,25
Switzerland,20
Syria,14
Taiwan,30
Tajikistan,24
Tanzania,28
Thailand,6
The Gambia,0
Timor-Leste (East Timor),12
Togo,30
Tonga,0
Trinidad and Tobago,0
Tunisia,12
Turkey,14
Turkmenistan,30
Tuvalu,0
Uganda,7
Ukraine,14
United Arab Emirates,30
United Kingdom,28
United States,0
Uruguay,20
Uzbekistan,15
Vanuatu,15
Venezuela,15
Vietnam,12
Yemen,30
Zambia,24
Zimbabwe,20
