Country,Total Unpaid Maternity Leave in Days,Total Paid Maternity Leave in Days
Afghanistan,0,90
Albania,0,365
Algeria,0,98
Andorra,0,112
Angola,0,588
Antigua and Barbuda,0,91
Argentina,0,90
Armenia,0,140
Australia,0,0
Austria,238,112
Azerbaijan,0,126
Bahamas,0,84
Bahrain,197,45
Bangladesh,0,112
Barbados,0,84
Belarus,0,126
Belgium,0,224
Belize,0,98
Benin,0,98
Bhutan,0,56
Bolivia,0,90
Bosnia and Herzegovina,0,365
Botswana,0,84
Brazil,0,120
Brunei,7,56
Bulgaria,0,227
Burkina Faso,0,98
Burundi,0,84
Cambodia,0,90
Cameroon,0,98
Canada,14,105
Cape Verde,0,60
Central African Republic,0,98
Chad,0,98
Chile,0,168
China,0,98
Colombia,0,98
Comoros,0,98
Costa Rica,0,119
Ivory Coast,0,98
Croatia,0,406
Cuba,0,126
Cyprus,0,126
Czech Republic,0,196
Democratic Republic of the Congo,0,98
Denmark,0,126
Djibouti,0,98
Dominica,0,84
Dominican Republic,0,84
Ecuador,0,84
Egypt,728,84
El Salvador,0,84
Equatorial Guinea,0,84
Eritrea,0,60
Estonia,0,140
Ethiopia,0,90
Fiji,0,84
Finland,0,105
France,910,294
Gabon,0,98
Georgia,0,126
Germany,0,98
Ghana,0,84
Greece,119,119
Grenada,0,91
Guatemala,0,84
Guinea,266,98
Guinea-Bissau,0,60
Guyana,0,91
Haiti,42,42
Holy See,0,0
Honduras,14,70
Hungary,0,168
Iceland,91,19
India,0,84
Indonesia,0,84
Iran,35,84
Iraq,364,62
Ireland,231,182
Israel,364,98
Italy,182,140
Jamaica,28,56
Japan,0,462
Jordan,364,70
Kazakhstan,0,126
Kenya,0,65
Kiribati,0,60
Kuwait,119,70
Kyrgyzstan,0,126
Laos,0,90
Latvia,0,658
Lebanon,0,49
Lesotho,0,84
Liberia,0,98
Libya,0,98
Liechtenstein,0,140
Lithuania,0,126
Luxembourg,0,294
Macedonia,0,252
Madagascar,0,98
Malawi,0,56
Malaysia,0,63
Maldives,364,60
Mali,0,98
Malta,119,98
Marshall Islands,0,0
Mauritania,0,98
Mauritius,0,84
Mexico,0,84
"Micronesia, Federated States of",0,7
Moldova,0,126
Monaco,0,112
Mongolia,0,120
Montenegro,0,365
Morocco,364,98
Mozambique,0,60
Myanmar,0,84
Namibia,0,98
Nauru,0,0
Nepal,0,52
Netherlands,182,112
New Zealand,0,98
Nicaragua,0,84
Niger,0,98
Nigeria,0,84
North Korea (Democratic People's Republic of Korea),0,240
Norway,0,413
Oman,0,50
Pakistan,0,84
Palau,0,0
Palestine,0,70
Panama,0,98
Papua New Guinea,42,0
Paraguay,21,63
Peru,0,90
Philippines,0,60
Poland,0,182
Portugal,0,241
Qatar,0,50
Republic of the Congo,0,105
Romania,0,126
Russia,0,140
Rwanda,0,84
Saint Kitts and Nevis,0,91
Saint Lucia,0,91
Saint Vincent and the Grenadines,0,91
Samoa,14,28
San Marino,0,140
Sao Tome and Principe,0,60
Saudi Arabia,0,70
Senegal,0,98
Serbia,0,365
Seychelles,14,84
Sierra Leone,0,84
Singapore,0,112
Slovakia,0,238
Slovenia,0,105
Solomon Islands,0,84
Somalia,0,98
South Africa,0,119
South Korea,0,90
South Sudan,0,98
Spain,1092,112
Sri Lanka,0,84
Sudan,0,84
Suriname,0,0
Swaziland,14,70
Switzerland,0,98
Sweden,0,98
Syria,364,120
Taiwan,0,56
Tajikistan,0,140
Tanzania,0,84
Thailand,0,90
The Gambia,0,84
Timor-Leste,0,84
Togo,0,98
Tonga,0,0
Trinidad and Tobago,0,91
Tunisia,0,30
Turkey,182,112
Turkmenistan,0,112
Tuvalu,0,84
Uganda,0,60
Ukraine,0,126
United Arab Emirates,0,45
United Kingdom,182,273
United States,84,0
Uruguay,0,84
Uzbekistan,0,126
Vanuatu,0,84
Venezuela,0,182
Vietnam,0,728
Yemen,0,60
Zambia,0,84
Zimbabwe,0,98
